"","VTD","D","G","L","R","W","winner","winningvotes","totalvotes","winningpercent","dpercent","gpercent","lpercent","rpercent","wpercent"
"612","0441B",1,0,0,2,0,"R",2,3,0.67,0.33,0,0,0.67,0
"613","0442",2239,75,229,3360,40,"R",3360,5903,0.57,0.38,0.01,0.04,0.57,0.01
"614","0443",3150,85,282,2539,44,"D",3150,6056,0.52,0.52,0.01,0.05,0.42,0.01
"615","0444",2634,57,308,3316,48,"R",3316,6315,0.53,0.42,0.01,0.05,0.53,0.01
"616","0445",756,12,77,1791,15,"R",1791,2636,0.68,0.29,0,0.03,0.68,0.01
"617","0446",2017,31,52,464,27,"D",2017,2564,0.79,0.79,0.01,0.02,0.18,0.01
"618","0447",4448,126,329,3063,94,"D",4448,7966,0.56,0.56,0.02,0.04,0.38,0.01
"619","0448",2424,59,198,1331,34,"D",2424,4012,0.6,0.6,0.01,0.05,0.33,0.01
"620","0449",743,16,86,1237,25,"R",1237,2082,0.59,0.36,0.01,0.04,0.59,0.01
"621","0450",3229,89,198,2050,27,"D",3229,5566,0.58,0.58,0.02,0.04,0.37,0
"622","0451",1976,68,126,1881,19,"D",1976,4051,0.49,0.49,0.02,0.03,0.46,0
"623","0452",1851,45,135,1695,33,"D",1851,3726,0.5,0.5,0.01,0.04,0.45,0.01
"624","0453",1858,31,126,2154,20,"R",2154,4169,0.52,0.45,0.01,0.03,0.52,0
"625","0454",3260,52,200,1995,21,"D",3260,5507,0.59,0.59,0.01,0.04,0.36,0
"626","0455",2036,39,141,1399,29,"D",2036,3615,0.56,0.56,0.01,0.04,0.39,0.01
"627","0456",1881,35,146,3228,32,"R",3228,5290,0.61,0.36,0.01,0.03,0.61,0.01
"628","0457",624,25,109,2217,14,"R",2217,2975,0.75,0.21,0.01,0.04,0.75,0
"629","0458",4029,82,165,982,33,"D",4029,5258,0.77,0.77,0.02,0.03,0.19,0.01
"630","0459",704,9,106,1884,31,"R",1884,2703,0.7,0.26,0,0.04,0.7,0.01
"631","0460",4102,113,275,3550,42,"D",4102,8040,0.51,0.51,0.01,0.03,0.44,0.01
"632","0461",4257,113,348,3793,49,"D",4257,8511,0.5,0.5,0.01,0.04,0.45,0.01
"633","0462",2101,35,182,2778,33,"R",2778,5096,0.55,0.41,0.01,0.04,0.55,0.01
"634","0463",4608,120,342,2280,56,"D",4608,7350,0.63,0.63,0.02,0.05,0.31,0.01
"635","0464",1072,35,167,2287,32,"R",2287,3561,0.64,0.3,0.01,0.05,0.64,0.01
"636","0465",1499,24,68,953,14,"D",1499,2544,0.59,0.59,0.01,0.03,0.37,0.01
"637","0466",1354,26,56,1271,9,"D",1354,2707,0.5,0.5,0.01,0.02,0.47,0
"638","0467",564,5,9,139,0,"D",564,717,0.79,0.79,0.01,0.01,0.19,0
"639","0468",1565,17,55,449,2,"D",1565,2086,0.75,0.75,0.01,0.03,0.22,0
"640","0469",462,8,74,1394,8,"R",1394,1938,0.72,0.24,0,0.04,0.72,0
"641","0470",189,8,32,544,2,"R",544,773,0.7,0.24,0.01,0.04,0.7,0
"642","0471",875,28,92,1965,14,"R",1965,2960,0.66,0.3,0.01,0.03,0.66,0
"643","0472",514,4,31,240,6,"D",514,789,0.65,0.65,0.01,0.04,0.3,0.01
"644","0473",432,6,58,799,17,"R",799,1295,0.62,0.33,0,0.04,0.62,0.01
"645","0474",702,21,99,1179,19,"R",1179,2001,0.59,0.35,0.01,0.05,0.59,0.01
"646","0475",618,5,26,373,6,"D",618,1022,0.6,0.6,0,0.03,0.36,0.01
"647","0476",702,12,42,693,2,"D",702,1449,0.48,0.48,0.01,0.03,0.48,0
"648","0477",810,23,90,1659,34,"R",1659,2582,0.64,0.31,0.01,0.03,0.64,0.01
"649","0478",1112,33,104,1638,20,"R",1638,2887,0.57,0.39,0.01,0.04,0.57,0.01
"650","0479",750,16,96,1784,29,"R",1784,2646,0.67,0.28,0.01,0.04,0.67,0.01
"651","0480",2236,44,208,2464,63,"R",2464,4952,0.5,0.45,0.01,0.04,0.5,0.01
"652","0481",630,24,68,1655,13,"R",1655,2377,0.7,0.27,0.01,0.03,0.7,0.01
"653","0482",910,22,118,1857,25,"R",1857,2907,0.64,0.31,0.01,0.04,0.64,0.01
"654","0483",1406,26,108,1249,21,"D",1406,2789,0.5,0.5,0.01,0.04,0.45,0.01
"655","0484",2422,62,257,3018,74,"R",3018,5759,0.52,0.42,0.01,0.04,0.52,0.01
"656","0485",715,12,88,1630,26,"R",1630,2445,0.67,0.29,0,0.04,0.67,0.01
"657","0486",738,12,95,2114,21,"R",2114,2959,0.71,0.25,0,0.03,0.71,0.01
"658","0487",2433,43,211,2773,29,"R",2773,5460,0.51,0.45,0.01,0.04,0.51,0.01
"659","0488",3401,62,344,3881,105,"R",3881,7688,0.5,0.44,0.01,0.04,0.5,0.01
"660","0489",869,11,20,287,4,"D",869,1187,0.73,0.73,0.01,0.02,0.24,0
"661","0490",1680,34,187,2347,32,"R",2347,4248,0.55,0.4,0.01,0.04,0.55,0.01
"662","0491",2320,42,211,2060,67,"D",2320,4633,0.5,0.5,0.01,0.05,0.44,0.01
"663","0492",833,4,53,690,13,"D",833,1580,0.53,0.53,0,0.03,0.44,0.01
"664","0493A",1217,21,60,621,5,"D",1217,1919,0.63,0.63,0.01,0.03,0.32,0
"665","0494",1274,16,17,164,0,"D",1274,1471,0.87,0.87,0.01,0.01,0.11,0
"666","0495",583,11,72,1077,16,"R",1077,1743,0.62,0.33,0.01,0.04,0.62,0.01
"667","0496",786,14,29,378,0,"D",786,1207,0.65,0.65,0.01,0.02,0.31,0
"668","0497",1107,6,9,52,1,"D",1107,1174,0.94,0.94,0.01,0.01,0.04,0
"669","0498",944,26,54,443,7,"D",944,1467,0.64,0.64,0.02,0.04,0.3,0
"670","0499",637,11,56,1088,9,"R",1088,1792,0.61,0.36,0.01,0.03,0.61,0.01
"671","04BV",87,2,13,399,0,"R",399,501,0.8,0.17,0,0.03,0.8,0
"672","04CC",202,5,12,763,1,"R",763,982,0.78,0.21,0.01,0.01,0.78,0
"673","04MS",155,1,7,131,1,"D",155,294,0.53,0.53,0,0.02,0.45,0
"674","04PF",47,0,1,275,6,"R",275,323,0.85,0.15,0,0,0.85,0.02
"675","04SE",334,6,34,1651,8,"R",1651,2025,0.82,0.16,0,0.02,0.82,0
"676","0500",923,20,79,1444,11,"R",1444,2466,0.59,0.37,0.01,0.03,0.59,0
"677","0501",969,19,108,415,20,"D",969,1511,0.64,0.64,0.01,0.07,0.27,0.01
"678","0502",327,7,33,1266,7,"R",1266,1633,0.78,0.2,0,0.02,0.78,0
"679","0503",463,16,43,1148,11,"R",1148,1670,0.69,0.28,0.01,0.03,0.69,0.01
"680","0504",691,8,80,933,12,"R",933,1712,0.54,0.4,0,0.05,0.54,0.01
"681","0505",1350,29,89,962,6,"D",1350,2430,0.56,0.56,0.01,0.04,0.4,0
"682","0506",1838,13,24,288,3,"D",1838,2163,0.85,0.85,0.01,0.01,0.13,0
"683","0507",672,4,5,217,2,"D",672,898,0.75,0.75,0,0.01,0.24,0
"684","0508",1625,34,48,578,0,"D",1625,2285,0.71,0.71,0.01,0.02,0.25,0
"685","0509",1149,27,118,1799,33,"R",1799,3093,0.58,0.37,0.01,0.04,0.58,0.01
"686","0510",1376,31,79,848,9,"D",1376,2334,0.59,0.59,0.01,0.03,0.36,0
"687","0511",1424,23,106,1889,19,"R",1889,3442,0.55,0.41,0.01,0.03,0.55,0.01
"688","0512",1519,24,84,855,4,"D",1519,2482,0.61,0.61,0.01,0.03,0.34,0
"689","0513",638,10,53,1395,19,"R",1395,2096,0.67,0.3,0,0.03,0.67,0.01
"690","0514",891,21,129,1796,21,"R",1796,2837,0.63,0.31,0.01,0.05,0.63,0.01
"691","0515",497,11,75,1657,10,"R",1657,2240,0.74,0.22,0,0.03,0.74,0
"692","0516",836,24,60,728,5,"D",836,1648,0.51,0.51,0.01,0.04,0.44,0
"693","0517",1181,23,69,808,6,"D",1181,2081,0.57,0.57,0.01,0.03,0.39,0
"694","0518",1057,15,84,1346,15,"R",1346,2502,0.54,0.42,0.01,0.03,0.54,0.01
"695","0519",575,21,67,1223,7,"R",1223,1886,0.65,0.3,0.01,0.04,0.65,0
"696","0520",2011,29,34,345,4,"D",2011,2419,0.83,0.83,0.01,0.01,0.14,0
"697","0521",1030,14,64,780,8,"D",1030,1888,0.55,0.55,0.01,0.03,0.41,0
"698","0522",548,16,84,1273,22,"R",1273,1921,0.66,0.29,0.01,0.04,0.66,0.01
"699","0523",975,30,90,1371,15,"R",1371,2466,0.56,0.4,0.01,0.04,0.56,0.01
"700","0524",1442,18,49,485,2,"D",1442,1994,0.72,0.72,0.01,0.02,0.24,0
"701","0525",1524,18,22,412,5,"D",1524,1976,0.77,0.77,0.01,0.01,0.21,0
"702","0526",287,4,12,75,3,"D",287,378,0.76,0.76,0.01,0.03,0.2,0.01
"703","0527A",117,0,4,67,0,"D",117,188,0.62,0.62,0,0.02,0.36,0
"704","0528",23,0,0,0,1,"D",23,23,1,1,0,0,0,0.04
"705","0529",388,17,80,1992,19,"R",1992,2477,0.8,0.16,0.01,0.03,0.8,0.01
"706","0530",469,5,9,95,0,"D",469,578,0.81,0.81,0.01,0.02,0.16,0
"707","0531",313,4,22,1035,2,"R",1035,1374,0.75,0.23,0,0.02,0.75,0
"708","0532",201,4,15,387,2,"R",387,607,0.64,0.33,0.01,0.02,0.64,0
"709","0533",246,3,11,246,4,"D",246,506,0.49,0.49,0.01,0.02,0.49,0.01
"710","0534",712,20,48,1653,5,"R",1653,2433,0.68,0.29,0.01,0.02,0.68,0
"711","0535",122,7,4,53,1,"D",122,186,0.66,0.66,0.04,0.02,0.28,0.01
"712","0536",2087,26,81,885,12,"D",2087,3079,0.68,0.68,0.01,0.03,0.29,0
"713","0537",725,7,35,1597,9,"R",1597,2364,0.68,0.31,0,0.01,0.68,0
"714","0538",546,3,4,9,0,"D",546,562,0.97,0.97,0.01,0.01,0.02,0
"715","0539",480,5,26,512,5,"R",512,1023,0.5,0.47,0,0.03,0.5,0
"716","0540",950,12,48,317,14,"D",950,1327,0.72,0.72,0.01,0.04,0.24,0.01
"717","0541",2406,46,68,347,18,"D",2406,2867,0.84,0.84,0.02,0.02,0.12,0.01
"718","0542",1421,11,22,85,0,"D",1421,1539,0.92,0.92,0.01,0.01,0.06,0
"719","0543",627,9,21,198,1,"D",627,855,0.73,0.73,0.01,0.02,0.23,0
"720","0544",120,1,3,13,0,"D",120,137,0.88,0.88,0.01,0.02,0.09,0
"721","0545",1385,22,50,977,4,"D",1385,2434,0.57,0.57,0.01,0.02,0.4,0
"722","0546",362,4,65,1305,16,"R",1305,1736,0.75,0.21,0,0.04,0.75,0.01
"723","0547",526,15,82,1014,8,"R",1014,1637,0.62,0.32,0.01,0.05,0.62,0
"724","0548",695,16,33,507,5,"D",695,1251,0.56,0.56,0.01,0.03,0.41,0
"725","0549",1327,16,21,166,0,"D",1327,1530,0.87,0.87,0.01,0.01,0.11,0
"726","0550",986,9,49,659,3,"D",986,1703,0.58,0.58,0.01,0.03,0.39,0
"727","0551",956,16,112,2197,34,"R",2197,3281,0.67,0.29,0,0.03,0.67,0.01
"728","0552",559,12,90,2162,15,"R",2162,2823,0.77,0.2,0,0.03,0.77,0.01
"729","0553",788,20,34,415,6,"D",788,1257,0.63,0.63,0.02,0.03,0.33,0
"730","0554",682,5,10,152,2,"D",682,849,0.8,0.8,0.01,0.01,0.18,0
"731","0555",820,9,17,153,0,"D",820,999,0.82,0.82,0.01,0.02,0.15,0
"732","0556",935,8,17,205,6,"D",935,1165,0.8,0.8,0.01,0.01,0.18,0.01
"733","0557",963,13,16,346,1,"D",963,1338,0.72,0.72,0.01,0.01,0.26,0
"734","0558",1735,24,61,659,9,"D",1735,2479,0.7,0.7,0.01,0.02,0.27,0
"735","0559",1969,44,75,490,11,"D",1969,2578,0.76,0.76,0.02,0.03,0.19,0
"736","0560",418,15,9,88,0,"D",418,530,0.79,0.79,0.03,0.02,0.17,0
"737","0561",627,20,46,926,4,"R",926,1619,0.57,0.39,0.01,0.03,0.57,0
"738","0562",286,6,3,35,0,"D",286,330,0.87,0.87,0.02,0.01,0.11,0
"739","0563",702,16,94,1870,21,"R",1870,2682,0.7,0.26,0.01,0.04,0.7,0.01
"740","0564",1543,29,87,366,41,"D",1543,2025,0.76,0.76,0.01,0.04,0.18,0.02
"741","0565",393,4,7,73,0,"D",393,477,0.82,0.82,0.01,0.01,0.15,0
"742","0566",1174,20,49,356,3,"D",1174,1599,0.73,0.73,0.01,0.03,0.22,0
"743","0567",985,9,23,306,1,"D",985,1323,0.74,0.74,0.01,0.02,0.23,0
"744","0568",933,24,95,1407,23,"R",1407,2459,0.57,0.38,0.01,0.04,0.57,0.01
"745","0569",1513,30,98,1076,17,"D",1513,2717,0.56,0.56,0.01,0.04,0.4,0.01
"746","0570",670,13,60,279,7,"D",670,1022,0.66,0.66,0.01,0.06,0.27,0.01
"747","0571",571,13,22,217,1,"D",571,823,0.69,0.69,0.02,0.03,0.26,0
"748","0572",1129,27,75,712,14,"D",1129,1943,0.58,0.58,0.01,0.04,0.37,0.01
"749","0573",670,3,6,17,0,"D",670,696,0.96,0.96,0,0.01,0.02,0
"750","0574",153,2,2,23,0,"D",153,180,0.85,0.85,0.01,0.01,0.13,0
"751","0575",1090,23,94,1248,24,"R",1248,2455,0.51,0.44,0.01,0.04,0.51,0.01
"752","0576",1362,7,18,74,0,"D",1362,1461,0.93,0.93,0,0.01,0.05,0
"753","0577",463,9,41,561,2,"R",561,1074,0.52,0.43,0.01,0.04,0.52,0
"754","0578",598,7,75,708,16,"R",708,1388,0.51,0.43,0.01,0.05,0.51,0.01
"755","0579",369,2,8,74,1,"D",369,453,0.81,0.81,0,0.02,0.16,0
"756","0580",438,1,4,17,0,"D",438,460,0.95,0.95,0,0.01,0.04,0
"757","0581",568,3,5,12,0,"D",568,588,0.97,0.97,0.01,0.01,0.02,0
"758","0582",690,8,12,44,1,"D",690,754,0.92,0.92,0.01,0.02,0.06,0
"759","0583",556,4,0,16,0,"D",556,576,0.97,0.97,0.01,0,0.03,0
"760","0584",436,2,5,37,0,"D",436,480,0.91,0.91,0,0.01,0.08,0
"761","0585",1024,4,6,61,0,"D",1024,1095,0.94,0.94,0,0.01,0.06,0
"762","0586",1052,32,72,1376,7,"R",1376,2532,0.54,0.42,0.01,0.03,0.54,0
"763","0587",1063,17,27,497,6,"D",1063,1604,0.66,0.66,0.01,0.02,0.31,0
"764","0588",831,30,73,1558,19,"R",1558,2492,0.63,0.33,0.01,0.03,0.63,0.01
"765","0589",1075,20,74,869,16,"D",1075,2038,0.53,0.53,0.01,0.04,0.43,0.01
"766","0590",394,8,48,1125,13,"R",1125,1575,0.71,0.25,0.01,0.03,0.71,0.01
"767","0591",819,12,19,243,1,"D",819,1093,0.75,0.75,0.01,0.02,0.22,0
"768","0592",545,9,16,120,4,"D",545,690,0.79,0.79,0.01,0.02,0.17,0.01
"769","0593",1351,26,66,826,5,"D",1351,2269,0.6,0.6,0.01,0.03,0.36,0
"770","0594",1107,17,36,381,0,"D",1107,1541,0.72,0.72,0.01,0.02,0.25,0
"771","0595",745,19,13,108,0,"D",745,885,0.84,0.84,0.02,0.01,0.12,0
"772","0596",966,31,83,749,8,"D",966,1829,0.53,0.53,0.02,0.05,0.41,0
"773","0597",1143,12,53,554,3,"D",1143,1762,0.65,0.65,0.01,0.03,0.31,0
"774","0598",1985,36,79,934,16,"D",1985,3034,0.65,0.65,0.01,0.03,0.31,0.01
"775","0599",1201,11,47,572,6,"D",1201,1831,0.66,0.66,0.01,0.03,0.31,0
"776","0600",1541,23,55,715,2,"D",1541,2334,0.66,0.66,0.01,0.02,0.31,0
"777","0601",840,13,86,1854,34,"R",1854,2793,0.66,0.3,0,0.03,0.66,0.01
"778","0602",313,7,28,614,5,"R",614,962,0.64,0.33,0.01,0.03,0.64,0.01
"779","0603",1254,28,128,1567,21,"R",1567,2977,0.53,0.42,0.01,0.04,0.53,0.01
"780","0604",312,9,44,1777,6,"R",1777,2142,0.83,0.15,0,0.02,0.83,0
"781","0605",1727,16,51,473,0,"D",1727,2267,0.76,0.76,0.01,0.02,0.21,0
"782","0606",403,2,3,10,0,"D",403,418,0.96,0.96,0,0.01,0.02,0
"783","0607",182,2,1,23,0,"D",182,208,0.88,0.88,0.01,0,0.11,0
"784","0608",151,3,8,66,2,"D",151,228,0.66,0.66,0.01,0.04,0.29,0.01
"785","0609",1179,35,83,1411,4,"R",1411,2708,0.52,0.44,0.01,0.03,0.52,0
"786","0610",596,13,29,348,7,"D",596,986,0.6,0.6,0.01,0.03,0.35,0.01
"787","0611",1123,6,10,45,0,"D",1123,1184,0.95,0.95,0.01,0.01,0.04,0
"788","0612",571,16,104,1593,25,"R",1593,2284,0.7,0.25,0.01,0.05,0.7,0.01
"789","0613",1034,14,24,169,2,"D",1034,1241,0.83,0.83,0.01,0.02,0.14,0
"790","0614",1815,18,53,658,3,"D",1815,2544,0.71,0.71,0.01,0.02,0.26,0
"791","0615",647,8,47,636,5,"D",647,1338,0.48,0.48,0.01,0.04,0.48,0
"792","0616",810,20,97,1448,13,"R",1448,2375,0.61,0.34,0.01,0.04,0.61,0.01
"793","0617",1538,32,58,689,7,"D",1538,2317,0.66,0.66,0.01,0.03,0.3,0
"794","0618",1298,16,76,817,2,"D",1298,2207,0.59,0.59,0.01,0.03,0.37,0
"795","0619",989,26,126,2212,42,"R",2212,3353,0.66,0.29,0.01,0.04,0.66,0.01
"796","0620",1069,12,46,922,4,"D",1069,2049,0.52,0.52,0.01,0.02,0.45,0
"797","0621",432,7,34,242,2,"D",432,715,0.6,0.6,0.01,0.05,0.34,0
"798","0622",1289,17,84,1266,14,"D",1289,2656,0.49,0.49,0.01,0.03,0.48,0.01
"799","0623",888,26,61,1378,21,"R",1378,2353,0.59,0.38,0.01,0.03,0.59,0.01
"800","0624",86,1,12,250,4,"R",250,349,0.72,0.25,0,0.03,0.72,0.01
"801","0625",619,13,48,592,8,"D",619,1272,0.49,0.49,0.01,0.04,0.47,0.01
"802","0626",1504,33,132,1347,11,"D",1504,3016,0.5,0.5,0.01,0.04,0.45,0
"803","0627",1131,18,23,367,0,"D",1131,1539,0.73,0.73,0.01,0.01,0.24,0
"804","0628",805,11,30,401,2,"D",805,1247,0.65,0.65,0.01,0.02,0.32,0
"805","0629",219,1,4,29,0,"D",219,253,0.87,0.87,0,0.02,0.11,0
"806","0630",2821,31,55,271,6,"D",2821,3178,0.89,0.89,0.01,0.02,0.09,0
"807","0631",762,13,78,1330,22,"R",1330,2183,0.61,0.35,0.01,0.04,0.61,0.01
"808","0632",4,0,0,1,0,"D",4,5,0.8,0.8,0,0,0.2,0
"809","0633",958,20,102,1721,35,"R",1721,2801,0.61,0.34,0.01,0.04,0.61,0.01
"810","0634",807,15,57,1012,11,"R",1012,1891,0.54,0.43,0.01,0.03,0.54,0.01
"811","0635",534,20,94,1454,26,"R",1454,2102,0.69,0.25,0.01,0.04,0.69,0.01
"812","0636",341,6,57,2746,16,"R",2746,3150,0.87,0.11,0,0.02,0.87,0.01
"813","0637",1147,18,30,292,3,"D",1147,1487,0.77,0.77,0.01,0.02,0.2,0
"814","0638",1061,15,13,91,1,"D",1061,1180,0.9,0.9,0.01,0.01,0.08,0
"815","0639",377,6,49,1203,10,"R",1203,1635,0.74,0.23,0,0.03,0.74,0.01
"816","0640",924,25,82,1159,8,"R",1159,2190,0.53,0.42,0.01,0.04,0.53,0
"817","0641",958,14,51,1246,10,"R",1246,2269,0.55,0.42,0.01,0.02,0.55,0
"818","0642",292,9,29,943,5,"R",943,1273,0.74,0.23,0.01,0.02,0.74,0
"819","0643",1327,20,70,1073,11,"D",1327,2490,0.53,0.53,0.01,0.03,0.43,0
"820","0644",1197,35,103,1399,11,"R",1399,2734,0.51,0.44,0.01,0.04,0.51,0
"821","0645",1738,38,104,992,9,"D",1738,2872,0.61,0.61,0.01,0.04,0.35,0
"822","0646",955,12,23,301,1,"D",955,1291,0.74,0.74,0.01,0.02,0.23,0
"823","0647",1440,10,14,394,1,"D",1440,1858,0.78,0.78,0.01,0.01,0.21,0
"824","0648",737,16,80,1468,20,"R",1468,2301,0.64,0.32,0.01,0.03,0.64,0.01
"825","0649",1713,25,43,500,3,"D",1713,2281,0.75,0.75,0.01,0.02,0.22,0
"826","0650",972,14,116,1695,12,"R",1695,2797,0.61,0.35,0.01,0.04,0.61,0
"827","0651",1057,24,97,1060,17,"R",1060,2238,0.47,0.47,0.01,0.04,0.47,0.01
"828","0652",1428,16,14,220,2,"D",1428,1678,0.85,0.85,0.01,0.01,0.13,0
"829","0653",222,0,7,60,0,"D",222,289,0.77,0.77,0,0.02,0.21,0
"830","0654",1533,25,82,1467,12,"D",1533,3107,0.49,0.49,0.01,0.03,0.47,0
"831","0655",1221,37,114,1292,18,"R",1292,2664,0.48,0.46,0.01,0.04,0.48,0.01
"832","0656",1407,8,7,59,0,"D",1407,1481,0.95,0.95,0.01,0,0.04,0
"833","0657",611,15,24,289,3,"D",611,939,0.65,0.65,0.02,0.03,0.31,0
"834","0658",674,16,67,990,13,"R",990,1747,0.57,0.39,0.01,0.04,0.57,0.01
"835","0659",1071,18,89,2277,15,"R",2277,3455,0.66,0.31,0.01,0.03,0.66,0
"836","0660",1693,14,19,158,1,"D",1693,1884,0.9,0.9,0.01,0.01,0.08,0
"837","0661",1363,30,97,1160,14,"D",1363,2650,0.51,0.51,0.01,0.04,0.44,0.01
"838","0662",554,12,58,2162,9,"R",2162,2786,0.78,0.2,0,0.02,0.78,0
"839","0663",905,13,89,737,11,"D",905,1744,0.52,0.52,0.01,0.05,0.42,0.01
"840","0664",1087,19,28,251,1,"D",1087,1385,0.78,0.78,0.01,0.02,0.18,0
"841","0665",323,12,53,1271,6,"R",1271,1659,0.77,0.19,0.01,0.03,0.77,0
"842","0667",414,11,53,993,10,"R",993,1471,0.68,0.28,0.01,0.04,0.68,0.01
"843","0668",895,21,98,1207,18,"R",1207,2221,0.54,0.4,0.01,0.04,0.54,0.01
"844","0669",877,24,94,1522,26,"R",1522,2517,0.6,0.35,0.01,0.04,0.6,0.01
"845","0670",541,9,84,1717,24,"R",1717,2351,0.73,0.23,0,0.04,0.73,0.01
"846","0671",903,22,76,945,7,"R",945,1946,0.49,0.46,0.01,0.04,0.49,0
"847","0672",650,17,67,1363,18,"R",1363,2097,0.65,0.31,0.01,0.03,0.65,0.01
"848","0673",387,14,54,1601,4,"R",1601,2056,0.78,0.19,0.01,0.03,0.78,0
"849","0674",830,22,91,1950,23,"R",1950,2893,0.67,0.29,0.01,0.03,0.67,0.01
"850","0675",0,0,0,1,0,"R",1,1,1,0,0,0,1,0
"851","0676",912,23,48,531,2,"D",912,1514,0.6,0.6,0.02,0.03,0.35,0
"852","0677",500,6,11,144,2,"D",500,661,0.76,0.76,0.01,0.02,0.22,0
"853","0678",1273,9,18,134,1,"D",1273,1434,0.89,0.89,0.01,0.01,0.09,0
"854","0679",675,16,66,1452,7,"R",1452,2209,0.66,0.31,0.01,0.03,0.66,0
"855","0680",78,0,4,32,1,"D",78,114,0.68,0.68,0,0.04,0.28,0.01
"856","0681",3,0,0,3,0,"D",3,6,0.5,0.5,0,0,0.5,0
"857","0682",743,12,78,1918,15,"R",1918,2751,0.7,0.27,0,0.03,0.7,0.01
"858","0683",60,3,2,19,0,"D",60,84,0.71,0.71,0.04,0.02,0.23,0
"859","0684",868,21,79,1279,34,"R",1279,2247,0.57,0.39,0.01,0.04,0.57,0.02
"860","0685",90,0,6,66,1,"D",90,162,0.56,0.56,0,0.04,0.41,0.01
"861","0686",40,2,2,13,0,"D",40,57,0.7,0.7,0.04,0.04,0.23,0
"862","0687",689,18,49,1117,13,"R",1117,1873,0.6,0.37,0.01,0.03,0.6,0.01
"863","0688",676,22,85,2078,12,"R",2078,2861,0.73,0.24,0.01,0.03,0.73,0
"864","0689",775,13,39,473,3,"D",775,1300,0.6,0.6,0.01,0.03,0.36,0
"865","0690",582,15,98,1759,19,"R",1759,2454,0.72,0.24,0.01,0.04,0.72,0.01
"866","0691",649,8,113,1862,19,"R",1862,2632,0.71,0.25,0,0.04,0.71,0.01
"867","0692",548,27,89,1264,4,"R",1264,1928,0.66,0.28,0.01,0.05,0.66,0
"868","0693",310,5,11,88,2,"D",310,414,0.75,0.75,0.01,0.03,0.21,0
"869","0694",770,16,37,462,9,"D",770,1285,0.6,0.6,0.01,0.03,0.36,0.01
"870","0695",351,10,34,529,5,"R",529,924,0.57,0.38,0.01,0.04,0.57,0.01
"871","0696",385,8,33,594,3,"R",594,1020,0.58,0.38,0.01,0.03,0.58,0
"872","0697",1349,14,47,399,5,"D",1349,1809,0.75,0.75,0.01,0.03,0.22,0
"873","0698",1553,14,21,169,0,"D",1553,1757,0.88,0.88,0.01,0.01,0.1,0
"874","0699",647,10,73,903,14,"R",903,1633,0.55,0.4,0.01,0.04,0.55,0.01
"875","0700",134,3,16,806,1,"R",806,959,0.84,0.14,0,0.02,0.84,0
"876","0701",153,2,8,112,0,"D",153,275,0.56,0.56,0.01,0.03,0.41,0
"877","0702",212,1,8,25,0,"D",212,246,0.86,0.86,0,0.03,0.1,0
"878","0703",435,10,51,895,9,"R",895,1391,0.64,0.31,0.01,0.04,0.64,0.01
"879","0704",387,8,66,1717,10,"R",1717,2178,0.79,0.18,0,0.03,0.79,0
"880","0705",463,6,4,49,0,"D",463,522,0.89,0.89,0.01,0.01,0.09,0
"881","0706",1007,28,39,510,5,"D",1007,1584,0.64,0.64,0.02,0.02,0.32,0
"882","0707",178,3,16,241,0,"R",241,438,0.55,0.41,0.01,0.04,0.55,0
"883","0708",168,2,2,84,0,"D",168,256,0.66,0.66,0.01,0.01,0.33,0
"884","0709",1300,29,101,1310,17,"R",1310,2740,0.48,0.47,0.01,0.04,0.48,0.01
"885","0710",787,16,100,650,3,"D",787,1553,0.51,0.51,0.01,0.06,0.42,0
"886","0711",1315,25,67,1126,8,"D",1315,2533,0.52,0.52,0.01,0.03,0.44,0
"887","0712",1485,37,49,741,7,"D",1485,2312,0.64,0.64,0.02,0.02,0.32,0
"888","0713",578,11,40,490,4,"D",578,1119,0.52,0.52,0.01,0.04,0.44,0
"889","0714",73,0,1,53,0,"D",73,127,0.57,0.57,0,0.01,0.42,0
"890","0715",407,10,15,350,4,"D",407,782,0.52,0.52,0.01,0.02,0.45,0.01
"891","0716",446,15,37,1104,8,"R",1104,1602,0.69,0.28,0.01,0.02,0.69,0
"892","0717",1023,6,17,135,1,"D",1023,1181,0.87,0.87,0.01,0.01,0.11,0
"893","0718",1156,19,112,1731,24,"R",1731,3018,0.57,0.38,0.01,0.04,0.57,0.01
"894","0719",411,7,19,404,0,"D",411,841,0.49,0.49,0.01,0.02,0.48,0
"895","0720",1031,19,127,1948,38,"R",1948,3125,0.62,0.33,0.01,0.04,0.62,0.01
"896","0721",778,24,78,1146,18,"R",1146,2026,0.57,0.38,0.01,0.04,0.57,0.01
"897","0722",2306,25,24,142,2,"D",2306,2497,0.92,0.92,0.01,0.01,0.06,0
"898","0723",919,10,23,193,1,"D",919,1145,0.8,0.8,0.01,0.02,0.17,0
"899","0724",214,4,13,292,0,"R",292,523,0.56,0.41,0.01,0.02,0.56,0
"900","0725",723,19,23,476,4,"D",723,1241,0.58,0.58,0.02,0.02,0.38,0
"901","0726",208,4,39,1291,18,"R",1291,1542,0.84,0.13,0,0.03,0.84,0.01
"902","0727",992,19,46,312,5,"D",992,1369,0.72,0.72,0.01,0.03,0.23,0
"903","0728",239,9,25,303,10,"R",303,576,0.53,0.41,0.02,0.04,0.53,0.02
